Domain: Blocksworld,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
real,0,0,49,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-30-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,9,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-30-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,24,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-31-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-32-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-32-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,36,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-32-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,16,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-32-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,33,,,,,,,
user,0,0,32,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-33-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-33-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,38,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-33-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,12,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-33-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,35,,,,,,,
user,0,0,28,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-34-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-34-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,32,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-34-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,27,,,,,,,
user,0,0,24,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-34-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,56,,,,,,,
user,0,0,48,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-35-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-35-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,29,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-35-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,31,,,,,,,
user,0,0,24,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-35-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,60,,,,,,,
user,0,0,56,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-36-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-36-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,39,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-36-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,13,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-36-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,42,,,,,,,
user,0,0,40,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-37-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-38-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-38-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,37,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-38-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,23,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-38-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,59,,,,,,,
user,0,0,52,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-39-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-39-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,43,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-39-0,,,,,,,,,,
,,,,,,,,,,
real,0,1,445,,,,,,,
user,0,1,412,,,,,,,
sys,0,0,32,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-39-0,,,,,,,,,,
,,,,,,,,,,
real,0,1,466,,,,,,,
user,0,1,428,,,,,,,
sys,0,0,32,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-40-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-40-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,37,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-40-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,31,,,,,,,
user,0,0,24,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-40-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,72,,,,,,,
user,0,0,68,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-4-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-4-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,49,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-4-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-4-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-41-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-41-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,35,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-41-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,25,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-41-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,71,,,,,,,
user,0,0,64,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-42-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,67,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,21,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,72,,,,,,,
user,0,0,64,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-44-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-45-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,40,,,,,,,
user,0,0,16,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,120,,,,,,,
user,0,0,120,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,168,,,,,,,
user,0,0,160,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,43,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
real,0,9,479,,,,,,,
user,0,9,380,,,,,,,
sys,0,0,96,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
real,0,9,337,,,,,,,
user,0,9,220,,,,,,,
sys,0,0,112,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,49,,,,,,,
user,0,0,16,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,29,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,104,,,,,,,
user,0,0,96,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-49-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,49,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,59,,,,,,,
user,0,0,52,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,136,,,,,,,
user,0,0,132,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,20,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,30,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,17,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,17,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,30,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
real,0,1,379,,,,,,,
user,0,1,364,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
real,0,1,370,,,,,,,
user,0,1,324,,,,,,,
sys,0,0,44,,,,,,,
